City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Upernavik,72.7868,-56.1549,-12.33,96,100,7.92,GL,1645582503
Carnarvon,-24.8667,113.6333,86.07,58,0,18.41,AU,1645582505
Yaypan,40.3758,70.8156,45.16,49,100,2.39,UZ,1645582641
Isfahan,32.6572,51.6776,28.04,43,10,3.44,IR,1645582642
Mount Isa,-20.7333,139.5,92.97,15,0,6.91,AU,1645582642
Norman Wells,65.282,-126.8329,8.64,66,100,2.3,CA,1645582533
Ilām,26.9167,87.9167,53.24,62,5,2.42,NP,1645582646
Nikolskoye,59.7035,30.7861,22.89,97,96,6.11,RU,1645582553
Cape Town,-33.9258,18.4232,66.09,76,0,1.01,ZA,1645582382
Kruisfontein,-34.0033,24.7314,60.87,79,0,4.9,ZA,1645582500
Karasjok,69.4719,25.5112,-6.92,100,100,0.58,NO,1645582647
Bada,51.392,109.8717,12.67,83,34,2.66,RU,1645582647
Codrington,-38.2667,141.9667,77.4,37,0,8.86,AU,1645582538
Tuktoyaktuk,69.4541,-133.0374,6.8,92,100,8.05,CA,1645582516
New Norfolk,-42.7826,147.0587,80.89,40,28,4.0,AU,1645582563
Våler,60.6785,11.8331,26.31,98,100,1.61,NO,1645582648
Zyryanka,65.75,150.85,-20.97,88,6,5.39,RU,1645582649
East London,-33.0153,27.9116,70.72,91,40,9.73,ZA,1645582649
Harper,4.375,-7.7169,79.29,86,11,8.03,LR,1645582649
Mattawa,46.7379,-119.9028,25.9,47,80,14.29,US,1645582650
Vostok,46.4856,135.8833,5.36,84,100,7.43,RU,1645582650
Zhenlai,45.8495,123.2973,8.85,76,2,9.64,CN,1645582650
Kaka,37.3482,59.6143,48.47,58,99,5.39,TM,1645582651
Puerto Ayora,-0.7393,-90.3518,75.22,83,100,6.17,EC,1645582651
Ouégoa,-20.35,164.4333,86.47,66,32,10.74,NC,1645582651
Auki,-8.7676,160.7034,82.98,80,88,3.33,SB,1645582515
Kidal,18.4411,1.4078,72.16,7,0,7.65,ML,1645582652
Khumalag,43.2403,44.4752,25.57,100,1,8.95,RU,1645582652
Olafsvik,64.8945,-23.7142,31.12,52,100,11.99,IS,1645582653
Butaritari,3.0707,172.7902,82.51,77,100,18.86,KI,1645582515
Margate,51.3813,1.3862,42.31,71,0,1.99,GB,1645582653
Vaini,-21.2,-175.2,84.36,84,75,9.22,TO,1645582496
Sola,-13.8833,167.55,82.27,76,20,12.77,VU,1645582653
Dunedin,-45.8742,170.5036,56.37,63,64,9.1,NZ,1645582184
Yulara,-25.2406,130.9889,87.64,23,0,6.91,AU,1645582654
Clyde River,70.4692,-68.5914,-10.97,70,0,6.91,CA,1645582654
Bethel,41.3712,-73.414,57.31,90,100,16.11,US,1645582508
Constitución,-35.3333,-72.4167,56.75,90,100,4.03,CL,1645582655
Barrow,71.2906,-156.7887,24.82,86,100,27.63,US,1645582518
Ahipara,-35.1667,173.1667,76.75,62,92,8.86,NZ,1645582523
Esperance,-33.8667,121.9,71.62,71,51,14.36,AU,1645582655
Paita,-5.0892,-81.1144,72.95,74,55,9.66,PE,1645582655
Provideniya,64.3833,-173.3,22.64,96,100,5.97,RU,1645582336
Karpogory,64.0019,44.4451,20.39,97,100,5.06,RU,1645582656
Liuzhou,24.3126,109.3892,43.43,66,7,13.91,CN,1645582657
Almeirim,-1.5233,-52.5817,75.11,91,100,3.06,BR,1645582657
Bogotol,56.2078,89.5342,22.48,88,100,6.06,RU,1645582657
Hirara,24.8,125.2833,68.27,94,75,18.41,JP,1645582658
Linxia Chengguanzhen,35.6003,103.2064,22.26,71,13,1.61,CN,1645582658
Hammerfest,70.6634,23.6821,14.45,92,0,2.3,NO,1645582658
Rocha,-34.4833,-54.3333,62.62,90,10,6.4,UY,1645582659
Cherskiy,68.75,161.3,-31.49,95,53,6.11,RU,1645582495
Chincha Alta,-13.4099,-76.1323,73.99,85,48,2.42,PE,1645582659
Lorengau,-2.0226,147.2712,84.87,68,99,8.1,PG,1645582552
Iqaluit,63.7506,-68.5145,-31.27,73,20,5.75,CA,1645582660
Atuona,-9.8,-139.0333,78.53,74,7,16.64,PF,1645582464
Port Keats,-14.25,129.55,86.4,61,82,6.22,AU,1645582660
Khatanga,71.9667,102.5,4.91,97,100,10.09,RU,1645582516
Zanzibar,-6.1639,39.1979,78.6,88,100,7.56,TZ,1645582661
Madang,-5.2246,145.7966,86.31,63,100,4.43,PG,1645582661
San Cristobal,7.7669,-72.225,69.98,85,98,2.93,VE,1645582661
Yarmouth,41.7057,-70.2286,55.45,93,100,13.8,US,1645582662
Longyearbyen,78.2186,15.6401,-0.56,65,20,9.22,SJ,1645582548
Puerto Escondido,15.85,-97.0667,83.23,69,40,0.0,MX,1645582662
Lodja,-3.4833,23.4333,69.6,93,100,2.04,CD,1645582662
Shimoda,34.6667,138.95,48.31,58,69,4.83,JP,1645582663
Tautira,-17.7333,-149.15,82.42,71,10,9.37,PF,1645582663
Barberton,-25.7884,31.0532,66.25,97,80,0.45,ZA,1645582663
Coos Bay,43.3665,-124.2179,42.78,74,0,13.8,US,1645582536
Bluff,-46.6,168.3333,66.79,57,41,16.06,NZ,1645582530
Hofn,64.2539,-15.2082,30.99,58,100,16.82,IS,1645582664
Luanda,-8.8368,13.2343,77.54,85,100,5.46,AO,1645582664
Hobart,-42.8794,147.3294,81.23,52,75,9.22,AU,1645582507
Lebu,-37.6167,-73.65,56.37,88,73,5.59,CL,1645582534
Senanga,-16.1167,23.2667,66.74,93,82,2.24,ZM,1645582665
Pang,5.9484,121.2883,82.0,71,100,2.91,PH,1645582665
Rio Grande,-32.035,-52.0986,70.45,80,0,7.81,BR,1645582666
Qaqortoq,60.7167,-46.0333,5.5,67,100,22.44,GL,1645582666
Paciran,-6.8767,112.3761,82.31,69,63,8.21,ID,1645582666
Ende,-8.8432,121.6623,77.72,91,100,8.19,ID,1645582667
Kaitangata,-46.2817,169.8464,58.87,55,25,9.75,NZ,1645582555
Portland,45.5234,-122.6762,34.32,47,20,16.11,US,1645582528
George Town,5.4112,100.3354,84.13,85,20,8.05,MY,1645582536
Homer,59.6425,-151.5483,42.69,76,0,5.01,US,1645582667
Avarua,-21.2078,-159.775,84.25,74,40,16.11,CK,1645582500
Faya,18.3851,42.4509,53.71,62,6,4.0,SA,1645582562
Sergeevka,53.88,67.4158,11.57,94,100,10.13,KZ,1645582668
Mackenzie,55.2999,-123.1698,8.82,52,100,4.61,CA,1645582668
Hongjiang,27.11,109.9956,36.41,93,97,2.84,CN,1645582669
Poum,-20.2333,164.0167,83.05,76,15,16.4,NC,1645582564
Marfino,55.7028,37.3822,35.94,81,100,15.66,RU,1645582669
Tasiilaq,65.6145,-37.6368,26.76,56,100,17.02,GL,1645582538
Marawi,7.9986,124.2928,70.65,45,100,4.65,PH,1645582670
Kavieng,-2.5744,150.7967,82.54,70,77,4.65,PG,1645582670
Ilhéus,-14.7889,-39.0494,74.98,86,25,3.04,BR,1645582671
Saskylakh,71.9167,114.0833,0.79,94,100,3.76,RU,1645582566
Taixing,32.1667,120.0136,40.8,51,100,6.69,CN,1645582671
Birao,10.2849,22.7882,66.87,16,11,4.32,CF,1645582671
San Alberto,7.7611,-73.3922,80.02,67,25,3.38,CO,1645582672
Sambava,-14.2667,50.1667,75.51,85,100,4.52,MG,1645582672
Ulladulla,-35.35,150.4667,78.76,89,100,2.89,AU,1645582673
Manado,1.487,124.8455,83.17,74,40,6.91,ID,1645582673
Korla,41.7597,86.1469,28.83,46,4,2.28,CN,1645582674
Garmsār,35.2182,52.3409,48.99,64,22,5.12,IR,1645582674
Yueyang,29.3333,113.0919,43.84,71,15,9.69,CN,1645582674
Rawson,-43.3002,-65.1023,61.09,66,15,14.58,AR,1645582553
Port Hardy,50.6996,-127.4199,28.58,69,20,3.44,CA,1645582675
Cumana,10.4635,-64.1775,78.89,88,55,9.57,VE,1645582675
Klaksvík,62.2266,-6.589,34.72,97,100,21.83,FO,1645582528
Nanortalik,60.1432,-45.2371,13.62,72,100,51.83,GL,1645582558
Nioro,13.35,-15.75,73.63,42,3,7.76,GM,1645582676
Cabo San Lucas,22.8909,-109.9124,70.11,68,0,4.61,MX,1645582676
Bonfim,3.0833,-59.95,82.99,63,66,8.48,BR,1645582676
Hithadhoo,-0.6,73.0833,81.54,67,1,4.09,MV,1645582524
Saint-Augustin,51.226,-58.6502,-1.97,81,100,1.72,CA,1645582677
Mumbwa,-14.9783,27.0619,61.95,96,95,2.68,ZM,1645582677
Alice Springs,-23.7,133.8833,87.35,23,0,6.91,AU,1645582650
Chui,-33.6971,-53.4616,64.42,87,0,8.03,UY,1645582543
Arraial do Cabo,-22.9661,-42.0278,76.33,90,64,18.12,BR,1645582531
Kantemirovka,49.7089,39.8592,36.73,100,100,6.2,RU,1645582678
Kirakira,-10.4544,161.9205,84.92,71,96,4.38,SB,1645582678
Llano de Piedra,7.6667,-80.5667,73.9,99,74,9.42,PA,1645582679
Mbaïki,3.8678,17.9892,73.53,36,100,1.99,CF,1645582679
Gēdo,9.0167,37.45,57.49,46,88,1.99,ET,1645582679
Hong Kong,22.2855,114.1577,54.32,78,100,10.22,HK,1645582301
Lagoa,39.05,-27.9833,56.91,74,100,18.03,PT,1645582536
Kapaa,22.0752,-159.319,80.58,74,75,11.5,US,1645582507
Lithakia,37.7167,20.8333,48.58,76,4,9.86,GR,1645582680
Mossamedes,-15.1961,12.1522,75.94,80,100,5.61,AO,1645582680
Gachsaran,30.3586,50.7981,44.69,100,20,0.0,IR,1645582681
Susanville,40.4163,-120.653,28.24,57,100,5.75,US,1645582681
Palmer,42.1584,-72.3287,56.14,85,100,24.16,US,1645582682
Tigil',57.8,158.6667,4.3,82,100,9.37,RU,1645582682
Thompson,55.7435,-97.8558,-14.64,70,20,6.91,CA,1645582485
Qaanaaq,77.484,-69.3632,-13.32,48,55,4.25,GL,1645582542
Kuito,-12.3833,16.9333,57.38,96,100,4.29,AO,1645582683
Ponta do Sol,32.6667,-17.1,66.83,78,41,7.76,PT,1645582684
Kamaishi,39.2667,141.8833,27.55,51,35,17.18,JP,1645582684
Salalah,17.0151,54.0924,75.29,19,0,13.8,OM,1645582685
Shīeli,44.1667,66.75,34.07,70,90,8.48,KZ,1645582685
Mar del Plata,-38.0023,-57.5575,67.87,92,75,8.99,AR,1645582541
Desenzano del Garda,45.468,10.534,44.76,49,0,4.61,IT,1645582686
Bambous Virieux,-20.3428,57.7575,79.21,94,40,13.8,MU,1645582508
São Raimundo das Mangabeiras,-7.0219,-45.4811,74.43,91,99,2.42,BR,1645582402
La Asuncion,11.0333,-63.8628,78.53,83,61,9.22,VE,1645582690
A Coruña,43.3713,-8.396,44.89,86,2,4.61,ES,1645582690
Tsumeb,-19.2333,17.7167,69.35,68,77,4.07,NA,1645582691
Maryville,35.7565,-83.9705,60.67,96,100,6.91,US,1645582691
Rudnogorsk,57.2639,103.7519,11.35,95,99,4.63,RU,1645582692
Rantauprapat,2.1,99.8333,79.61,83,77,0.27,ID,1645582692
Souillac,-20.5167,57.5167,79.36,94,40,13.8,MU,1645582510
Bilma,18.6853,12.9164,68.81,9,0,6.89,NE,1645582561
Tiksi,71.6872,128.8694,-0.24,91,99,11.01,RU,1645582537
Pevek,69.7008,170.3133,-28.66,96,100,3.44,RU,1645582542
Whitehorse,60.7161,-135.0538,18.81,57,75,3.44,CA,1645582693
Sitka,57.0531,-135.33,37.29,65,100,9.22,US,1645582533
Acapulco de Juárez,16.8634,-99.8901,80.42,78,40,4.61,MX,1645582693
Vao,-22.6667,167.4833,80.26,79,17,13.96,NC,1645582694
Natá,8.3333,-80.5167,77.47,82,25,10.67,PA,1645582694
Naousa,40.6329,22.0534,43.41,80,79,3.51,GR,1645582695
Porto Belo,-27.1578,-48.5531,76.98,91,89,4.5,BR,1645582695
Narsaq,60.9167,-46.05,5.22,74,100,4.36,GL,1645582695
Saint Paul Harbor,57.79,-152.4072,40.51,87,100,3.44,US,1645582556
Tessalit,20.1986,1.0114,73.85,9,17,6.4,ML,1645582696
Mandalgovi,45.7625,106.2708,11.44,60,2,6.53,MN,1645582518
Tazovsky,67.4667,78.7,-5.03,100,73,8.72,RU,1645582697
Laas,46.6166,10.7002,38.66,91,30,7.7,IT,1645582554
Dubréka,9.7911,-13.5233,75.36,85,9,1.28,GN,1645582697
North Bend,43.4065,-124.2243,42.71,74,0,13.8,US,1645582698
Weilheim,47.8333,11.15,43.72,84,100,13.62,DE,1645582698
Pisco,-13.7,-76.2167,75.25,73,75,9.22,PE,1645582699
Marsaxlokk,35.8419,14.5431,57.07,47,0,20.71,MT,1645582699
Wanning,18.8003,110.3967,57.24,85,97,16.33,CN,1645582699
Kumul,42.8,93.45,32.25,30,0,1.9,CN,1645582528
Deputatsky,69.3,139.9,-14.1,94,46,4.52,RU,1645582335
Houma,29.5958,-90.7195,73.4,94,1,5.01,US,1645582700
Knyaginino,55.8228,45.0349,33.08,90,100,16.02,RU,1645582700
Chokurdakh,70.6333,147.9167,-20.24,95,88,9.82,RU,1645582518
Mehamn,71.0357,27.8492,18.82,81,30,12.37,NO,1645582701
Zhangaözen,43.3,52.8,40.3,68,0,7.7,KZ,1645582701
Bahía Honda,22.9036,-83.1592,74.14,83,0,11.48,CU,1645582701
Hobyo,5.3505,48.5268,77.45,84,98,19.6,SO,1645582702
San Ramon,37.7799,-121.978,46.85,72,75,9.22,US,1645582702
Mendi,-6.1761,143.6513,62.42,83,100,3.85,PG,1645582703
Pochutla,15.7432,-96.4661,81.45,73,0,2.93,MX,1645582703
Pampierstad,-27.7832,24.6877,64.62,26,0,5.64,ZA,1645582704
Paro,27.4305,89.4133,41.76,53,4,0.85,BT,1645582704
Soto la Marina,23.7667,-98.2167,71.78,90,3,11.54,MX,1645582704
Masingbi,8.7833,-11.95,74.95,83,0,0.36,SL,1645582705
Severo-Kuril'sk,50.6789,156.125,27.21,86,100,21.59,RU,1645582515
Tuatapere,-46.1333,167.6833,66.81,45,23,7.09,NZ,1645582528
Røros,62.5747,11.3842,17.44,79,75,5.75,NO,1645582705
Te Anau,-45.4167,167.7167,63.59,51,2,2.62,NZ,1645582517
Westport,41.1415,-73.3579,58.75,91,100,29.93,US,1645582511
Port Alfred,-33.5906,26.891,69.51,88,0,12.48,ZA,1645582505
Saldanha,-33.0117,17.9442,63.64,90,0,13.98,ZA,1645582706
Lüderitz,-26.6481,15.1594,68.14,59,0,11.56,NA,1645582509
Boulder City,35.9786,-114.8325,50.65,53,100,14.97,US,1645582621
Pangnirtung,66.1451,-65.7125,-27.92,96,98,4.9,CA,1645582531
Port Lincoln,-34.7333,135.8667,72.7,59,0,7.52,AU,1645582577
Port Elizabeth,-33.918,25.5701,59.29,100,0,3.44,ZA,1645582514
Villa Carlos Paz,-31.4241,-64.4978,66.06,42,82,1.99,AR,1645582526
Saint Anthony,45.0205,-93.218,7.25,80,100,14.97,US,1645582707
Ta Khmau,11.4833,104.95,78.85,69,40,14.97,KH,1645582707
Bandarbeyla,9.4942,50.8122,75.47,80,30,11.9,SO,1645582708
Dubti,11.7361,41.0853,74.39,47,25,7.78,ET,1645582573
Assiniboia,49.6334,-105.9845,-14.89,76,97,8.05,CA,1645582708
São Paulo de Olivença,-3.3783,-68.8725,71.98,99,100,1.23,BR,1645582708
Molteno,-31.3968,26.3625,56.7,92,34,4.45,ZA,1645582709
Vestmannaeyjar,63.4427,-20.2734,30.22,83,100,27.11,IS,1645582524
Kalanguy,51.0167,116.5167,5.77,97,79,3.74,RU,1645582709
Verkhnevilyuysk,63.4453,120.3167,11.28,95,89,5.55,RU,1645582709
Fengxian,34.7039,116.5872,38.19,41,76,8.12,CN,1645582568
Valera,9.3178,-70.6036,72.46,87,92,2.1,VE,1645582710
São João da Barra,-21.6403,-41.0511,76.37,91,98,11.65,BR,1645582710
Novotroitskaya,45.3267,41.5253,42.75,94,95,0.45,RU,1645582710
Bucerías,20.75,-105.3333,75.97,83,0,3.44,MX,1645582711
Loandjili,-4.7561,11.8578,78.93,84,100,3.09,CG,1645582711
Rundu,-17.9333,19.7667,65.39,88,35,3.13,NA,1645582711
Ossora,59.2353,163.0719,4.14,84,100,11.48,RU,1645582712
Iaciara,-14.0958,-46.6317,69.31,93,100,1.77,BR,1645582712
Ambon City,-3.6954,128.1814,86.14,62,40,9.22,ID,1645582546
Camabatela,-8.1881,15.375,62.82,99,100,4.32,AO,1645582712
Puri,19.8,85.85,72.12,76,7,3.85,IN,1645582713
Alta Floresta,-9.8756,-56.0861,72.7,97,100,3.31,BR,1645582713
Morón,-34.6534,-58.6198,73.98,81,0,4.65,AR,1645582713
Marzuq,14.4,46.4667,58.39,43,2,1.97,YE,1645582714
Lamu,-2.2717,40.902,78.48,87,100,15.68,KE,1645582714
Hibbing,47.4272,-92.9377,1.0,46,100,14.97,US,1645582714
Flinders,-34.5833,150.8552,74.48,92,100,5.99,AU,1645582552
Griffith,41.5284,-87.4237,30.31,88,100,20.71,US,1645582715
Roald,62.5833,6.1333,37.54,87,40,25.32,NO,1645582715
College,64.8569,-147.8028,26.65,86,75,4.61,US,1645582582
Okara,30.8081,73.4458,49.59,95,34,2.57,PK,1645582716
Kalabo,-14.97,22.6814,66.63,93,94,2.66,ZM,1645582716
Derzhavīnsk,51.1,66.3167,10.74,100,94,4.09,KZ,1645582716
Umluj,25.0213,37.2685,69.35,58,0,5.82,SA,1645582639
Kieta,-6.2167,155.6333,82.65,78,100,2.84,PG,1645582547
Zonguldak,41.25,31.8333,45.05,78,100,4.12,TR,1645582717
Erenhot,43.6475,111.9767,10.38,77,93,7.02,CN,1645582717
Mahébourg,-20.4081,57.7,79.25,94,40,13.8,MU,1645582501
Faanui,-16.4833,-151.75,81.59,71,100,13.18,PF,1645582718
Airai,-8.9266,125.4092,61.16,99,100,2.33,TL,1645582718
Atasū,48.6814,71.6433,3.56,97,36,2.53,KZ,1645582718
Yumen,40.2833,97.2,18.01,55,0,5.35,CN,1645582554
Ilulissat,69.2167,-51.1,-0.38,71,100,14.97,GL,1645582520
São Filipe,14.8961,-24.4956,69.58,75,16,8.57,CV,1645582723
Choya,52.0108,86.5467,23.86,88,100,3.33,RU,1645582724
Hanko,59.8333,22.95,13.14,87,82,7.07,FI,1645582724
Laguna,38.421,-121.4238,47.95,72,20,8.05,US,1645582521
Burnie,-41.0667,145.9167,65.7,91,97,11.32,AU,1645582724
Chapais,49.7834,-74.8492,-0.62,92,100,11.59,CA,1645582725
La Ronge,55.1001,-105.2842,-12.75,77,0,2.3,CA,1645582581
Cayenne,4.9333,-52.3333,78.1,87,20,1.99,GF,1645582532
Ţahţā,26.7693,31.5021,59.13,31,25,0.65,EG,1645582725
Hodkovice nad Mohelkou,50.6659,15.0899,43.88,87,100,17.38,CZ,1645582726
Slave Lake,55.2834,-114.769,-5.82,84,0,0.0,CA,1645582577
Zakamensk,50.3741,103.2863,9.23,84,37,2.93,RU,1645582726
San Miguel,13.4833,-88.1833,82.06,69,0,3.44,SV,1645582727
Nhulunbuy,-12.2333,136.7667,88.41,66,40,9.22,AU,1645582727
Bull Savanna,17.8868,-77.5902,72.23,80,6,6.31,JM,1645582728
Ixtapa,20.7,-105.2,75.22,83,0,3.44,MX,1645582728
Nuevo Laredo,27.4763,-99.5164,89.58,30,0,12.66,MX,1645582704
Srednekolymsk,67.45,153.6833,-25.35,92,15,5.21,RU,1645582729
Kirkenes,69.7271,30.0458,2.35,85,75,8.05,NO,1645582729
Kawalu,-7.3817,108.2082,81.77,67,63,1.7,ID,1645582729
Saint George,37.1041,-113.5841,50.47,57,100,18.41,US,1645582514
Itarema,-2.9248,-39.9167,79.52,78,4,11.23,BR,1645582568
Yukamenskoye,57.8865,52.2416,32.61,86,100,15.35,RU,1645582730
Mount Gambier,-37.8333,140.7667,81.54,29,0,2.68,AU,1645582525
Werda,-25.2667,23.2833,71.28,20,0,7.9,BW,1645582731
Victor Harbor,-35.5667,138.6167,90.46,35,0,6.6,AU,1645582731
Neuquén,-38.9516,-68.0591,64.29,72,75,2.3,AR,1645582436
Nola,40.922,14.5329,53.55,53,15,6.33,IT,1645582731
Tsaratanana,-16.7833,47.65,72.16,97,100,5.06,MG,1645582732
Aswān,24.0934,32.907,61.9,27,0,6.11,EG,1645582733
Senahú,15.4,-89.8333,55.76,93,6,1.59,GT,1645582733
Tura,25.5198,90.2201,63.84,49,98,2.01,IN,1645582559
Skjervøy,70.0311,20.9714,24.33,67,4,15.41,NO,1645582734
Vila Velha,-20.3297,-40.2925,78.75,86,20,6.91,BR,1645582452
San Andrés,12.5847,-81.7006,80.62,74,20,14.97,CO,1645582734
Marrakesh,31.6315,-8.0083,68.07,42,40,11.5,MA,1645582734
Baghdad,33.3406,44.4009,49.91,81,100,0.0,IQ,1645582735
San Vicente,-26.6167,-54.1333,74.32,60,66,2.3,AR,1645582511
Myre,69.1036,15.9492,22.95,63,100,17.36,NO,1645582735
Chittarkonda,18.1167,82.0833,68.18,73,25,1.7,IN,1645582736
San Pedro de Cajas,-11.2511,-75.8617,41.81,88,93,3.89,PE,1645582736
Yarkovo,57.4028,67.0786,18.84,90,100,8.97,RU,1645582737
Ishigaki,24.3448,124.1572,64.53,100,75,16.11,JP,1645582737
Comodoro Rivadavia,-45.8667,-67.5,51.66,82,0,6.91,AR,1645582436
Kenai,60.5544,-151.2583,38.03,89,0,8.05,US,1645582458
Kochi,9.9399,76.2602,73.38,85,50,4.88,IN,1645582738
Sinnamary,5.3833,-52.95,76.41,92,100,8.63,GF,1645582738
Zhanakorgan,43.9098,67.2495,36.14,71,100,1.34,KZ,1645582738
Lakes Entrance,-37.8811,147.981,84.16,56,0,6.44,AU,1645582559
Petropavlovsk-Kamchatskiy,53.0452,158.6483,27.19,54,75,22.37,RU,1645582418
Kavaratti,10.5669,72.642,80.13,66,24,3.15,IN,1645582739
Iroquois Falls,48.7669,-80.6831,-0.26,94,100,11.12,CA,1645582739
Rongcheng,30.634,117.8517,39.13,90,100,5.08,CN,1645582740
Valkeala,60.9401,26.7979,16.2,92,100,8.05,FI,1645582740
Khorixas,-20.3667,14.9667,73.9,60,72,5.32,NA,1645582740
Ancud,-41.8697,-73.8203,56.73,80,20,4.34,CL,1645582509
Ribeira Grande,38.5167,-28.7,58.59,75,100,17.4,PT,1645582513
Popondetta,-8.7537,148.2534,91.53,55,100,5.86,PG,1645582741
Boden,65.8252,21.6886,-9.4,100,100,2.42,SE,1645582741
Smithers,54.7804,-127.1743,17.92,41,100,2.3,CA,1645582503
Noumea,-22.2763,166.4572,91.38,99,40,17.54,NC,1645582680
Zvečka,44.6389,20.1647,35.83,83,32,1.99,RS,1645582742
Mersing,2.4312,103.8405,75.11,94,40,13.8,MY,1645582634
Rome,43.2128,-75.4557,60.66,87,100,5.01,US,1645582726
Kodinsk,58.6881,99.1844,15.06,97,100,3.78,RU,1645582743
Ialibu,-6.2821,143.9935,68.63,84,100,3.29,PG,1645582743
Daru,-9.0763,143.2092,79.45,82,100,14.16,PG,1645582743
Maamba,-17.3667,27.15,68.29,91,59,2.42,ZM,1645582744
Krishnarajasagara,12.4089,76.5797,68.14,67,9,4.79,IN,1645582744
Vohibinany,-17.35,49.0333,76.78,78,99,5.88,MG,1645582745
Zhaozhou,45.6833,125.3167,5.36,81,6,10.36,CN,1645582745
Buin,-33.7333,-70.75,66.74,57,100,2.93,CL,1645582745
Alta Gracia,-31.6529,-64.4283,67.87,71,71,5.55,AR,1645582746
Half Moon Bay,37.4636,-122.4286,48.34,68,100,17.27,US,1645582746
Medenychi,49.4305,23.7507,34.41,81,96,7.07,UA,1645582747
Husavik,66.0449,-17.3389,19.31,77,100,7.56,IS,1645582747
Port-Cartier,50.0334,-66.8654,1.74,96,100,16.78,CA,1645582580
Kahuta,33.5913,73.3868,51.85,77,85,7.38,PK,1645582747
Conceição do Castelo,-20.3683,-41.2439,66.78,96,100,3.53,BR,1645582748
Chimbote,-9.0853,-78.5783,73.24,74,59,4.56,PE,1645582748
Grand Gaube,-20.0064,57.6608,79.38,88,100,4.0,MU,1645582749
Filingué,14.3521,3.3168,69.26,8,2,8.55,NE,1645582749
Sabha,27.0377,14.4283,50.65,42,0,12.64,LY,1645582749
Bengkulu,-3.8004,102.2655,81.5,72,70,5.06,ID,1645582749
Torbay,47.6666,-52.7314,23.58,73,75,4.61,CA,1645582750
Paamiut,61.994,-49.6678,4.75,75,100,31.56,GL,1645582750
Ostrovnoy,68.0531,39.5131,6.51,96,100,7.83,RU,1645582751
Kibala,9.1104,18.3463,75.27,17,10,5.73,TD,1645582751
Praia,14.9215,-23.5087,68.54,73,20,18.41,CV,1645582752
Nguru,12.8791,10.4526,66.34,12,32,8.66,NG,1645582752
Kahului,20.8947,-156.47,82.42,66,20,26.46,US,1645582753
Donduşeni,48.2427,27.6101,39.97,80,11,8.88,MD,1645582753
Diamantino,-14.4086,-56.4461,73.54,92,94,1.92,BR,1645582555
Yamada,39.4667,141.95,33.55,41,21,15.17,JP,1645582754
Dosso,13.049,3.1937,70.54,12,7,9.98,NE,1645582540
